"sentence","reason"
"열정은 불꽃처럼 타오르며, 끊임없이 추진력을 준다.","불꽃이 타오르듯, 열정은 끊임없이 추진력을 준다."
"열정은 엔진처럼 행동을 계속 이끈다.","엔진이 기계를 지속적으로 움직이듯, 열정은 행동을 끊임없이 이끈다."
"열정은 태양처럼 모든 것을 밝게 비춘다.","태양이 밝게 빛나며 에너지를 주듯, 열정은 모든 것을 밝게 만든다."
"열정은 용암처럼 억누를 수 없는 힘을 발휘한다.","용암이 뜨겁게 흐르듯, 열정은 억누를 수 없는 강한 힘을 지닌다."
"열정은 심장처럼 멈추지 않고 계속 뛰어간다.","심장이 계속 뛰어 생명을 유지하듯, 열정은 멈추지 않고 이어진다."
"팀워크는 퍼즐처럼 각 구성원이 모여 하나의 그림을 완성한다.","퍼즐 조각이 맞춰져 하나의 그림을 이루듯, 팀워크는 각 구성원이 함께 목표를 이룬다."
"팀워크는 톱니바퀴처럼 각각이 맞물려 돌아가야 원활히 작동한다.","톱니바퀴가 맞물려 돌아가듯, 팀워크는 각각이 협력해야 원활히 작동한다."
"팀워크는 다리처럼 서로 다른 사람들을 이어준다.","다리가 두 끝을 연결하듯, 팀워크는 서로 다른 사람들을 이어준다."
"팀워크는 오케스트라처럼 다양한 사람들을 조율한다.","오케스트라가 다양한 악기를 조율하듯, 팀워크는 다양한 사람들을 조율한다."
"팀워크는 그물처럼 엮여 여러 사람이 협력할 때 더 강해진다.","그물이 엮여 강하게 만들어지듯, 팀워크는 여러 사람이 협력할 때 더 강해진다."
"성취지향적인 사람은 등산처럼 높은 목표에 도전한다.","등산은 정상에 오르기 위한 끈기와 노력이 필요하듯, 성취지향적인 사람은 높은 목표에 도전한다."
"성취지향적인 사람은 나침반처럼 항상 목표를 향해 나아간다.","나침반이 항상 북쪽을 가리키듯, 성취지향적인 사람은 항상 목표를 향해 나아간다."
"성취지향적인 사람은 활시위처럼 목표에 집중한다.","활시위가 팽팽히 당겨져 목표를 겨냥하듯, 성취지향적인 사람은 항상 목표에 초점을 맞춘다."
"성취지향은 길잡이 별처럼 올바른 방향을 제시한다.","길잡이 별이 어둠 속에서 길을 안내하듯, 성취지향은 사람을 올바른 방향으로 이끈다."
"성취지향적인 사람은 사다리처럼 한 걸음씩 목표에 다가간다.","사다리가 하나씩 올라가며 정상에 도달하듯, 성취지향적인 사람은 한 걸음씩 목표에 다가간다."
"의사소통은 메아리처럼 상대방의 말을 반응하여 이해한다.","메아리가 소리를 반향하듯, 의사소통은 상대방의 말을 반응하여 이해하게 한다."
"의사소통은 전화기처럼 사람들 간의 거리를 좁힌다.","전화기가 멀리 떨어진 사람들을 연결하듯, 의사소통은 사람들 간의 거리를 좁힌다."
"의사소통은 빛처럼 오해를 풀고 명확하게 만든다.","빛이 어둠을 밝혀주듯, 의사소통은 오해를 풀고 명확하게 만든다."
"의사소통은 물결처럼 계속해서 서로의 생각을 주고받는다.","물결이 계속 흘러가듯, 의사소통은 끊임없이 서로의 생각을 주고받는다."
"의사소통은 지문처럼 독특한 소통 방식을 반영한다.","지문이 사람의 고유함을 나타내듯, 의사소통은 사람 간의 독특한 소통 방식을 반영한다."
